INSTANCE,HEA-BEST,HEA-AVG
in02_001.dat,3583,3583
in02_002.dat,3103,3103
in02_003.dat,2941,2941
in02_004.dat,2459,2459
in02_005.dat,2885,2885
in02_006.dat,2890,2890
in02_007.dat,3019,3019
in02_008.dat,2812,2812
in02_009.dat,2832,2832
in02_010.dat,3218,3218
in02_011.dat,3035,3035
in02_012.dat,2513,2513
in02_013.dat,3170,3170
in02_014.dat,2939,2939
in02_015.dat,2643,2643
in02_016.dat,3070,3070
in02_017.dat,3547,3547
in02_018.dat,2883,2883
in02_019.dat,3260,3260
in02_020.dat,2562,2562
in02_021.dat,3044,3044
in02_022.dat,2800,2800
in02_023.dat,3285,3285
in02_024.dat,2995,2995
in02_025.dat,2445,2445
in02_026.dat,2936,2936
in02_027.dat,2603,2603
in02_028.dat,2806,2806
in02_029.dat,2725,2725
in02_030.dat,2735,2735
in02_031.dat,2861,2861
in02_032.dat,2411,2411
in02_033.dat,2972,2972
in02_034.dat,2765,2765
in02_035.dat,2560,2560
in02_036.dat,3012,3012
in02_037.dat,3015,3015
in02_038.dat,2659,2659
in02_039.dat,3237,3237
in02_040.dat,2899,2899
in02_041.dat,2798,2798
in02_042.dat,2730,2730
in02_043.dat,2841,2841
in02_044.dat,3057,3057
in02_045.dat,3019,3019
in02_046.dat,2543,2543
in02_047.dat,2402,2402
in02_048.dat,2962,2962
in02_049.dat,2252,2252
in02_050.dat,2829,2829
in02_051.dat,3421,3421
in02_052.dat,3099,3099
in02_053.dat,3019,3019
in02_054.dat,2778,2778
in02_055.dat,3345,3345
in02_056.dat,3016,3016
in02_057.dat,3105,3105
in02_058.dat,2553,2553
in02_059.dat,2917,2917
in02_060.dat,3284,3284
in02_061.dat,5357,5357.3
in02_062.dat,5426,5426.35
in02_063.dat,5221,5221.75
in02_064.dat,5359,5361.8
in02_065.dat,5160,5162.6
in02_066.dat,5369,5372.15
in02_067.dat,5168,5168.35
in02_068.dat,5078,5080.95
in02_069.dat,5384,5384.3
in02_070.dat,5625,5628.5
in02_071.dat,5429,5434.3
in02_072.dat,5172,5172
in02_073.dat,4405,4406.05
in02_074.dat,5928,5929.05
in02_075.dat,5508,5513.6
in02_076.dat,5900,5900.65
